,start station id,start station name,start station latitude,start station longitude
9183,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762
9202,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
9880,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
10449,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001
11156,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089
11723,3065,Union Ave & Wallabout St,40.70029511,-73.95032283
13401,3182,Yankee Ferry Terminal,40.686931,-74.016966
14068,3181,Soissons Landing,40.692609000000004,-74.016398
14213,3165,Central Park West & W 72 St,40.77575319,-73.97603963
18881,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
21043,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056
23336,3042,Fulton St & Utica Ave,40.6794268,-73.92989109999999
53856,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
57999,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022
63558,3176,W 64 St & West End Ave,40.77452835,-73.98753759
71360,3128,21 St & 43 Ave,40.75052534,-73.94594845
99431,3132,E 59 St & Madison Ave,40.76350532,-73.97109243
100484,3134,3 Ave & E 62 St,40.76312584,-73.96526895
144326,3141,1 Ave & E 68 St,40.76500525,-73.95818491
147491,3159,W 67 St & Broadway,40.77492513,-73.98266566
168221,2017,E 43 St & 2 Ave,40.75022392,-73.97121414
282908,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
284146,3139,E 72 St & Park Ave,40.77122923,-73.96432627
287650,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961
289606,3156,E 72 St & York Ave,40.76663814,-73.95348296
327866,3160,Central Park West & W 76 St,40.77896784,-73.97374737
333480,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492
334593,3135,E 75 St & 3 Ave,40.77112927,-73.95772297
369667,3221,47 Ave & 31 St,40.743,-73.93561
370521,3140,1 Ave & E 78 St,40.77140426,-73.9535166
389009,3149,E 82 St & 2 Ave,40.77517793,-73.95324922
393067,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406
422476,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127
504047,3147,E 85 St & 3 Ave,40.77801203,-73.95407149
510904,3177,W 84 St & Broadway,40.7867947,-73.977112
519139,3150,E 85 St & York Ave,40.77536905,-73.94803392
555862,3146,E 81 St & 3 Ave,40.77573034,-73.9567526
556312,3144,E 81 St & Park Ave,40.77677702,-73.95900970000001
558769,3136,5 Ave & E 63 St,40.76650452,-73.97147595
564832,3145,E 84 St & Park Ave,40.77862688,-73.95772073
600313,3148,E 84 St & 1 Ave,40.77565541,-73.95068615
603418,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475
732976,395,Bond St & Schermerhorn St,40.68807003,-73.98410637
840556,3166,Riverside Dr & W 72 St ,40.780577990103346,-73.98562431335448
933511,3082,Hope St & Union Ave,40.71167351,-73.95141312
941377,3085,Roebling St & N 4 St,40.714690000000004,-73.95739
943956,3080,S 4 St & Rodney St,40.709340000000005,-73.95608
999549,3231,E 67 St & Park Ave,40.76780080148132,-73.96592080593109
1010786,3077,Stagg St & Union Ave,40.70877084,-73.95095259
1061112,3230,Penn Station Valet,40.751283596962296,-73.99692445993422
1169172,3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842
1223342,3226,W 82 St & Central Park West,40.78275,-73.97137
1225794,3137,5 Ave & E 73 St,40.77282817,-73.96685276
